Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,21,1000021,10000,2025-01-20,1
2,59,1000059,10000,2025-02-27,1
3,67,1000067,10000,2025-03-07,1
4,105,1000105,10000,2025-04-14,1
5,142,1000142,10000,2025-05-21,1
6,159,1000159,10000,2025-06-07,1
7,173,1000173,10000,2025-06-21,1
8,196,1000196,10000,2025-07-14,1
9,265,1000265,10000,2025-09-21,1
10,272,1000272,10000,2025-09-28,1
11,319,1000319,10000,2025-11-14,1
12,326,1000326,10000,2025-11-21,1
13,356,1000356,10000,2025-12-21,1
14,363,1000363,10000,2025-12-28,1
15,411,1000411,10000,2025-02-13,1
16,440,1000440,10000,2025-03-14,1
17,454,1000454,10000,2025-03-28,1
18,464,1000464,10000,2025-04-07,1
19,471,1000471,10000,2025-04-14,1
20,555,1000555,10000,2025-07-07,1
21,569,1000569,10000,2025-07-21,1
22,722,1000722,10000,2025-12-21,1
23,770,1000770,10000,2025-02-06,1
24,777,1000777,10000,2025-02-13,1
25,799,1000799,10000,2025-03-07,1
26,881,1000881,10000,2025-05-28,1
27,891,1000891,10000,2025-06-07,1
28,912,1000912,10000,2025-06-28,1
29,921,1000921,10000,2025-07-07,1
30,928,1000928,10000,2025-07-14,1
31,990,1000990,10000,2025-09-14,1
32,997,1000997,10000,2025-09-21,1
33,1004,1001004,10000,2025-09-28,1
34,1051,1001051,10000,2025-11-14,1
35,1095,1001095,10000,2025-12-28,1
36,1105,1001105,10000,2025-01-06,1
37,1165,1001165,10000,2025-03-07,1
38,1196,1001196,10000,2025-04-07,1
39,1233,1001233,10000,2025-05-14,1
40,1278,1001278,10000,2025-06-28,1
41,1325,1001325,10000,2025-08-14,1
42,1363,1001363,10000,2025-09-21,1
43,1370,1001370,10000,2025-09-28,1
44,1379,1001379,10000,2025-10-07,1
45,1393,1001393,10000,2025-10-21,1
46,1400,1001400,10000,2025-10-28,1
47,1417,1001417,10000,2025-11-14,1
48,1424,1001424,10000,2025-11-21,1
49,1447,1001447,10000,2025-12-14,1
50,1471,1001471,10000,2025-01-06,1
51,1492,1001492,10000,2025-01-27,1
52,1552,1001552,10000,2025-03-28,1
53,1569,1001569,10000,2025-04-14,1
54,1606,1001606,10000,2025-05-21,1
